HCPCS Code,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,Total Medicare Payment Amount: Slope,Total Medicare Payment Amount: Pearson Coef,Total Number of Services: Slope,Total Number of Services: Pearson Coef
11042,46073.0,4237372.200018604,6537.0,644733.100009575,11483.0,1317431.9000196618,14608.0,1165644.849995921,8266.0,600263.11000066,5179.0,509299.239992786,1.8342067313389272e-06,0.42570684955108057,0.00010126326788611923,0.24511119280203128
11642,14749.0,1201135.310001045,2634.0,214496.560000266,2585.0,213254.240000246,2923.0,238474.169999793,3055.0,245483.240000281,3552.0,289427.100000459,-4.7407740516842455e-05,-0.9291113637961297,-0.00379751754993258,-0.9357924700565041
11643,6988.0,642551.630000203,1182.0,103648.27999970599,1426.0,129997.440000359,1414.0,128258.929999659,1479.0,140722.560000003,1487.0,139924.420000476,-9.254934091903897e-05,-0.8779105013360279,-0.010663072637558462,-0.8408101544761016
14040,36699.0,18862149.70000065,6854.0,3582572.6799973,6475.0,3471107.62999956,7356.0,3725634.7200012,7635.0,3907715.69000161,8379.0,4175118.98000098,-5.239889193279741e-06,-0.9218205770711531,-0.0019570264874470464,-0.9076938642599753
14041,20939.0,11796912.76000291,4311.0,2448822.03999961,4205.0,2455397.22000071,4066.0,2237142.30000023,3871.0,2174377.77000164,4486.0,2481173.43000072,2.663319284690961e-06,0.24002507344082602,-7.286147030804008e-05,-0.010797145571532512
14060,66964.0,35388675.22000261,12781.0,6664704.64000004,13033.0,7190368.43000155,13157.0,6718042.68000159,14043.0,7562395.2600024,13950.0,7253164.20999703,-2.67830860535871e-06,-0.6440927977141839,-0.002590150866230622,-0.9312263473581556
14301,23201.0,19242463.38002829,5027.0,4435581.1300054,4910.0,4247217.10002365,4544.0,3811793.74000751,4516.0,3325471.32999616,4204.0,3422400.07999557,3.070603262409579e-06,0.9514446722590932,0.0046643838623293375,0.975466200293575
15004,20261.0,2908600.21999083,4141.0,645711.339997502,4188.0,614663.699998364,4310.0,607020.349995858,3988.0,549173.129999968,3634.0,492031.699999138,2.4983947249257068e-05,0.9651559969337387,0.004466506353182183,0.7363653110218576
15120,2362.0,1727467.66999499,468.0,374959.51999871,538.0,447454.71999782,466.0,322363.93999861,498.0,333222.62000006,392.0,249466.86999978998,1.725083252296226e-05,0.793744555999965,0.016720078027030794,0.5665911207555157
15260,35022.0,19492504.150008928,6439.0,3502561.56000068,6646.0,3987570.86000274,7164.0,3827316.88000163,7518.0,4358891.550003,7255.0,3816163.30000088,-2.5701534099635617e-06,-0.5065925680917784,-0.0031292755727049186,-0.8851952346264137
15730,824.0,771838.23999967,482.0,462171.85000067,342.0,309666.389999,0.0,0.0,0.0,0.0,0.0,0.0,6.4828738015035005e-06,0.8944233719695714,0.0061173023165184024,0.8938230711596693
20926,4608.0,2630208.0400003702,983.0,556106.02999935,954.0,610737.46000013,1009.0,585782.18000118,865.0,450643.33999987005,797.0,426939.02999984,1.5410347767000367e-05,0.8030020451207497,0.014781705315001028,0.8254917413406069
21235,5216.0,2296051.46000193,997.0,547903.08000284,1009.0,589131.19999974,1076.0,542354.61999933,1155.0,348416.65999995,979.0,268245.90000007,9.950427497213791e-06,0.8922236023093505,-0.005237895699211458,-0.24003510720585444
30130,3340.0,1025739.76000048,596.0,186750.20000026,548.0,165502.7,717.0,216179.4100006,762.0,229411.98000023,717.0,227895.46999939,-4.658850948601687e-05,-0.825301866037731,-0.013725844320028897,-0.7911374728789666
30140,61413.0,20173276.589999665,14256.0,3699636.240000459,13489.0,3414962.459999425,12663.0,4804703.76999973,11063.0,4163402.14999946,9942.0,4090571.97000059,-1.3799839033898686e-06,-0.45954376877273073,0.0008871414504748269,0.990275799641127
30465,3286.0,2976999.78999525,810.0,738921.4099981,687.0,606739.82999821,792.0,747604.39999869,514.0,460478.89999941,483.0,423255.25000084,8.476915383713904e-06,0.8118862102006946,0.008867795854117788,0.8563683302969237
30520,50240.0,20608078.40999824,10934.0,4932682.75999995,10119.0,4454847.44999942,10270.0,3887689.26999925,9508.0,3510467.17999956,9409.0,3822391.75000006,2.459881077783128e-06,0.8823508853663192,0.002378443415655238,0.9331388613016729
30802,3056.0,520146.370000301,678.0,115199.37999999699,725.0,98175.240000093,491.0,68066.239999931,609.0,144814.169999943,553.0,93891.340000337,-1.249888831052664e-06,-0.02242345933316862,0.010382154041664773,0.6164307243518372
30930,5287.0,1319228.100000783,1134.0,269112.82000010397,1091.0,267984.220000285,1057.0,285853.589999743,953.0,230010.140000328,1052.0,266267.330000323,2.5992243754815592e-05,0.33689061771977913,0.01684778970388057,0.7133044574774458
31231,179197.0,8122459.370002815,42188.0,1865779.8000014601,38601.0,1726503.1299991969,32767.0,1495479.720000612,32245.0,1473524.080000204,33396.0,1561172.640001342,7.693285261447143e-06,0.8144384289762189,0.00031392310660949865,0.8669094054300829
31237,22980.0,3984863.120003807,5431.0,945048.45999998,4766.0,817973.230001374,4811.0,831306.550000294,3961.0,700877.99000162,4011.0,689656.890000539,1.4174241122825459e-05,0.943382189460332,0.0024015021741994992,0.9356000975287024
31238,2126.0,355548.250000894,350.0,58204.32000001,456.0,70939.82000029,360.0,57244.230000254,379.0,65452.13000024,581.0,103707.7500001,-5.8837936210772636e-05,-0.709349805756361,-0.010332020138046525,-0.6307002261889488
31240,1440.0,272076.720000101,465.0,81228.960000209,339.0,62021.469999986,280.0,47718.669999947,176.0,27758.990000009,180.0,53348.629999950004,5.8709428168072744e-05,0.7269942964923052,0.012594068932339093,0.9608044820568103
31253,2555.0,1711281.13000142,1295.0,880259.72000163,1260.0,831021.40999979,0.0,0.0,0.0,0.0,0.0,0.0,2.945745751825078e-06,0.8737288166003015,0.001965268348459944,0.8698438446968965
31254,4835.0,2269834.66999766,1046.0,492158.94999923,1081.0,551675.7299986,927.0,514211.14999996,890.0,433153.49000002997,891.0,278635.34999984,1.1909560439143033e-05,0.8060702338753031,0.01539548890664372,0.8782448372879003
31256,18109.0,5022144.629997617,3465.0,991835.219999836,3242.0,913926.7999999729,3956.0,1059938.689998861,3847.0,1035079.989998808,3599.0,1021363.9300001389,-1.4238185513398602e-05,-0.5065443807461265,-0.0026314298219067595,-0.4792951318889648
31257,1709.0,985363.9900002499,959.0,545807.53000089,750.0,439556.45999935997,0.0,0.0,0.0,0.0,0.0,0.0,5.1567218834079675e-06,0.8885845871069855,0.0029708985565085394,0.8903009237760445
31259,2379.0,1312137.98999943,1363.0,751217.12999968,1016.0,560920.85999975,0.0,0.0,0.0,0.0,0.0,0.0,3.859493090206486e-06,0.8923847168278232,0.002128437979069184,0.8924469125767027
31267,44474.0,21870283.19999894,10126.0,5474723.78000329,9227.0,5081500.90999544,9166.0,4546272.85999986,8394.0,4313264.93999863,7561.0,2454520.71000172,1.253912558312144e-06,0.9239827837563767,0.0015988383472810954,0.9764155398618548
31276,26196.0,15476690.17000034,3838.0,1926164.94000361,3202.0,1568753.13999861,7061.0,4510942.91999997,6240.0,3919275.80999812,5855.0,3551553.36000003,-8.501798332010952e-07,-0.6900805665365946,-0.000654008761127998,-0.6800845505300942
31288,5031.0,2166667.44000548,274.0,167881.54999999,236.0,132215.78000146,1705.0,820141.39000391,1421.0,585987.4699994699,1395.0,460441.25000065,-3.1030660693563163e-06,-0.5677805642264906,-0.001765702281676864,-0.7778857062131052
31525,32640.0,4324807.639971714,9470.0,1268959.6600109504,7722.0,1022976.639990046,5299.0,700741.3699822569,5918.0,783501.649983953,4231.0,548628.3200045069,5.220186792695782e-06,0.9365165495037311,0.0007124233240041185,0.9354134521920552
31526,2110.0,204525.909999385,327.0,29723.889999973,427.0,44119.520000107,480.0,47429.810000391,369.0,34247.5699997,507.0,49005.119999214,-9.966937616470566e-05,-0.5347490283633423,-0.013453314326443335,-0.6374088896921573
31535,4688.0,935851.669999544,880.0,178249.539999967,925.0,175099.419999985,881.0,168478.11000016698,1039.0,232824.56999961002,963.0,181200.029999815,-2.361210280612047e-05,-0.38760117681704126,-0.015902585306011175,-0.6672873358369038
31536,5727.0,1320604.790000484,1190.0,278485.729999612,1138.0,268100.83000026,1071.0,235033.379999536,1093.0,252209.72999993598,1235.0,286775.12000114,-3.9903406199938983e-07,-0.005238394265859317,-0.002451888499008347,-0.10504046004058418
31541,7041.0,1766354.1099994,1349.0,343437.08999981,1439.0,364008.37999976,1301.0,318524.17000031,1317.0,311467.77999971,1635.0,428916.68999981,-1.3321747741215794e-05,-0.3971829197066852,-0.0059444550123644675,-0.5172044813769512
31571,9547.0,1783053.680001842,1859.0,329493.710000077,1987.0,402641.130000272,1695.0,319825.530001125,2112.0,394075.849999639,1894.0,337017.460000729,-1.0813048092643659e-06,-0.026474998888451846,-0.0020352101798082104,-0.19921495552859506
31575,307623.0,16598776.02999894,62112.0,3164731.949999025,59663.0,3007322.229999339,58140.0,2963951.90999947,58104.0,3367114.380000182,69604.0,4095655.560000924,-2.6060077673738274e-06,-0.7608948320586485,-0.00014553899530536407,-0.4420250006475327
31579,60509.0,5998496.160013294,15023.0,1418448.740003155,13064.0,1213382.400003554,10470.0,957141.660000992,9957.0,1080066.040005853,11995.0,1329457.31999974,2.255431512383282e-06,0.26497434318626506,0.0005475814778888834,0.7083423665075976
31622,9250.0,899461.240000009,1750.0,169167.539999914,1720.0,174191.339999961,1836.0,178972.390000416,1907.0,191174.399999543,2037.0,185955.570000175,-0.00016183233245145514,-0.9045496291696684,-0.011651407049024712,-0.9416326653375937
38510,1566.0,555987.62999952,349.0,112143.67999991,222.0,74247.77000029,339.0,113084.72000016,331.0,124915.19999968,325.0,131596.25999947998,-4.537563129895523e-05,-0.6375274753503397,-0.005689873890008208,-0.18630145122636613
42415,1624.0,1151738.89000086,253.0,183033.56000017,296.0,183520.10999995001,396.0,301095.6100006,406.0,287774.37999979,273.0,196315.23000035,-9.416249939049e-06,-0.35097169575208187,-0.007377968402620655,-0.33267029629846695
42826,12.0,6851.099999999999,0.0,0.0,0.0,0.0,12.0,6851.099999999999,0.0,0.0,0.0,0.0,1.2110430385604955e-20,2.3467394691249376e-17,-7.709882115452475e-18,-2.6168207644729584e-17
43191,4166.0,365159.319999796,887.0,93565.239999836,823.0,81217.549999962,770.0,68026.510000112,909.0,67967.409999973,777.0,54382.609999913,0.00010327261408643459,0.9726953196431706,0.00842936943284183,0.33608562956496746
43200,5260.0,326653.460000608,704.0,46478.670000188,897.0,63046.870000202005,1037.0,63212.100000148,1192.0,75608.990000102,1430.0,78306.829999968,-0.00011925406156482655,-0.9533812739964342,-0.005675062857736861,-0.9957075279652302
60220,1772.0,1136494.620000173,376.0,259174.37000076,386.0,258011.06999945999,394.0,242281.690000323,323.0,208492.39999996,293.0,168535.08999967002,3.852632675838851e-05,0.9429617965737356,0.02939968161043496,0.8205197797000148
60240,2878.0,2064149.24999973,459.0,324832.88999952003,457.0,325602.27000025,423.0,289389.14999978,793.0,564614.41999964,746.0,559710.52000054,-9.424821682080129e-06,-0.8173130644577543,-0.007151434373408609,-0.8067096925041768
60500,10544.0,8346019.1699982695,2644.0,2197618.100001,2272.0,1862490.7399963501,1798.0,1410847.33999852,1870.0,1408770.07000075,1960.0,1466292.92000165,3.8924670863827156e-06,0.8636788268534872,0.003620840329533292,0.8005552687525032
69433,5358.0,578678.960000327,1113.0,120424.959999596,1101.0,119417.249999697,987.0,105930.470000845,885.0,95794.520000005,1272.0,137111.760000184,-9.886592090096175e-06,-0.09818496536039914,-0.0012040342229021476,-0.11082034593702504
69436,20428.0,5880968.799997576,4032.0,1013430.979998345,4011.0,1045676.059999508,3889.0,989017.789998868,4125.0,1541750.790001124,4371.0,1291093.179999731,-4.6646906076721095e-06,-0.7003179025732597,-0.006087849513279506,-0.6943757494697931
69631,1204.0,1126824.52999957,274.0,258975.59999993,190.0,192457.48999952,290.0,249926.63000041,234.0,220079.14000044,216.0,205385.66999927,2.4532558383407036e-05,0.4417880070479699,0.01064333017975402,0.2768248133643893
69801,6694.0,594412.840000396,1106.0,99843.450000136,1357.0,117694.22000006499,1184.0,101842.109999951,1419.0,125889.280000208,1628.0,149143.780000036,-6.595942487846796e-05,-0.8392963880941071,-0.006561508506230467,-0.8518819406403036
69930,10899.0,32980620.87007325,2677.0,9406753.83000612,2587.0,8438188.15003866,2191.0,6277113.34001281,1818.0,4694007.58000282,1626.0,4164557.97001284,6.799740872841233e-07,0.9836188518051162,0.003374713836961474,0.9843171961271626
